species;zone;protection;site;size;fid;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Big;93;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Big;107;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Big;112;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Big;103;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Big;126;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Big;108;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Big;125;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Big;163;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Medium;78;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Medium;71;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Medium;106;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Medium;98;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Medium;117;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Small;47;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Small;37;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Small;65;;;;;;;
A.punctatus;North;MEARB;El ciego ernesto;Small;81;;;;;;;
C.variegatus;North;MEARB;Caramucho;Big;304;;;;;;;
C.variegatus;North;MEARB;Caramucho;Big;235;;;;;;;
C.variegatus;North;MEARB;Caramucho;Big;275;;;;;;;
C.variegatus;North;MEARB;Caramucho;Big;315;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;113;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;118;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;178;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;215;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;245;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;143;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;222;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;245;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;201;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;143;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;207;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;143;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;187;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;218;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;245;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;235;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;163;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;198;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;178;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;137;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;218;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;143;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;173;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;209;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;114;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;202;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;235;;;;;;;
C.variegatus;North;MEARB;Caramucho;Medium;178;;;;;;;
C.variegatus;North;MEARB;Caramucho;Small;75;;;;;;;
C.variegatus;North;MEARB;Caramucho;Small;63;;;;;;;
C.variegatus;North;MEARB;Caramucho;Small;67;;;;;;;
C.variegatus;North;MEARB;Caramucho;Small;73;;;;;;;
C.variegatus;North;MEARB;Caramucho;Small;75;;;;;;;
C.variegatus;North;MEARB;Caramucho;Small;93;;;;;;;
C.variegatus;North;MEARB;Caramucho;Small;65;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Big;198;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Big;235;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Big;168;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Big;181;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Big;179;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Big;202;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;118;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;183;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;168;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;163;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;181;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;144;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;163;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;188;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;144;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;191;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;140;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;133;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;146;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Medium;168;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Small;43;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Small;38;;;;;;;
C.variegatus;North;MEARB;Las pizarras;Small;71;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Big;207;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;136;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;167;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;119;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;156;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;201;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;181;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;198;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;217;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;163;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Medium;148;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Small;71;;;;;;;
C.variegatus;North;MEARB;Punta Tira AMERB;Small;47;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Big;207;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Big;135;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Big;235;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Big;263;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Big;186;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Big;207;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;156;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;171;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;173;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;143;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;162;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;156;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;207;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;143;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;167;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;212;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;163;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;193;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;187;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;222;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;216;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;183;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;163;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;167;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;199;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;216;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;178;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;186;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;204;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;111;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;96;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;83;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;178;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;181;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;207;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;164;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;171;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;205;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;216;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;186;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;167;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;134;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Medium;155;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Small;61;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Small;73;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Small;67;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Small;81;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Small;93;;;;;;;
C.variegatus;North;MEARB;El ciego ernesto;Small;67;;;;;;;
P.chilensis;North;MEARB;Caramucho;Big;197;;;;;;;
P.chilensis;North;MEARB;Caramucho;Big;121;;;;;;;
P.chilensis;North;MEARB;Caramucho;Big;116;;;;;;;
P.chilensis;North;MEARB;Caramucho;Big;120;;;;;;;
P.chilensis;North;MEARB;Caramucho;Medium;178;;;;;;;
P.chilensis;North;MEARB;Caramucho;Medium;107;;;;;;;
P.chilensis;North;MEARB;Caramucho;Medium;145;;;;;;;
P.chilensis;North;MEARB;Caramucho;Medium;115;;;;;;;
P.chilensis;North;MEARB;Caramucho;Medium;147;;;;;;;
P.chilensis;North;MEARB;Caramucho;Medium;145;;;;;;;
P.chilensis;North;MEARB;Caramucho;Medium;143;;;;;;;
P.chilensis;North;MEARB;Caramucho;Medium;105;;;;;;;
P.chilensis;North;MEARB;Caramucho;Small;78;;;;;;;
P.chilensis;North;MEARB;Caramucho;Small;63;;;;;;;
P.chilensis;North;MEARB;Caramucho;Small;53;;;;;;;
P.chilensis;North;MEARB;Caramucho;Small;73;;;;;;;
P.chilensis;North;MEARB;Caramucho;Small;63;;;;;;;
P.chilensis;North;MEARB;Caramucho;Small;53;;;;;;;
P.chilensis;North;MEARB;Caramucho;Small;73;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Big;121;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Big;112;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Big;132;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Big;143;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Medium;100;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Medium;109;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Medium;98;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Small;83;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Small;83;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Small;74;;;;;;;
P.chilensis;North;MEARB;Las pizarras;Small;71;;;;;;;
